asin,title,main_cat,condition,variant,n_questions,description_text,average_rating,rating_number,price,memory port,rpm hard drive,keyboard / tablet,monitor,router,audio,usb,memory card,dvd,laptop
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,human,0,10,"A reliable upgrade or replacement power supply for desktop PCs. This StarTech.com power supply offers an upgrade or replacement to a variety of Intel or AMD-based ATX desktop computer systems. Compliant with the industry standard ATX specification and using the standard ATX form-factor, this power supply (PSU) can be used as a replacement in a variety of popular OEM desktop systems. Conforming to ATX revision 2.03, this power supply features a 20-pin ATX power connector and 6-pin AUX power connector, for support for older, legacy computer systems, as well as some newer, low powered systems with it's ATX12V connector. High quality components and a built in 80mm cooling fan lend to a durable and reliable power supply, while being backed by StarTech.com's 2 year warranty and free lifetime technical support. Instantly replace your old ATX power supply with StarTech.com's reliable ATXPOWER300. It may be the last computer power supply you ever buy thanks to a long-life transformer and built-in short-circuit protection. The temperature controlled smart fan cools your entire system while the EMI/RFI power filter reduces noise/ripple. Guaranteed compatible with Intel Pentium processors, recommended by AMD, and MTBF of 40,000 hrs! Get your Pentium 4 power supply, backed by StarTech.com's 2-year warranty and FREE tech support, today! <b>Features and Benefits</b> <ul> <li>Provides extra power capacity for PC servers with several hard drives <li>Provides the extra current required by 1 GHz and faster CPUs <li>Provides extra power required by leading edge 3D video accelerator cards <li>Provides extra current and power capacity for overclocking CPUs <li>Guaranteed compatibility with Intel Pentium II, III, 4, AMD K6 and Athlon Processors </ul>",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,default,1,10,"Upgrade or replace your desktop’s power supply with this 300W ATX unit from StarTech.com. It delivers reliable power to your system with nine output connectors and includes built-in protection against short circuits. The smart cooling fan helps keep your computer running smoothly, while EMI/RFI filtering reduces electrical noise for stable performance. It’s a straightforward solution for keeping your PC powered and protected.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,default,2,10,"This 300W internal ATX power supply offers a straightforward way to replace or upgrade the power source in a standard desktop computer. With nine output connectors, built-in short-circuit protection, and efficient cooling, it provides stable power for everyday computing needs. Premium EMI/RFI filtering helps reduce noise and ripple for cleaner power delivery to your system components.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,default,3,10,"This 300W ATX internal power supply is an ideal replacement or upgrade for standard desktop computers. With nine output connectors, built-in short-circuit protection, and premium EMI/RFI filtration, it delivers stable and reliable power to your system. A temperature-controlled high-flow fan helps maintain efficient cooling for both the power supply and connected components.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,quality_persona,1,10,"Built for dependable performance, this 300W ATX power supply combines high-quality components, premium connectors, and a long-life transformer for lasting reliability. Clean, stable power is supported by advanced EMI/RFI filtering and low-resistance connectors that help maximize system performance. The temperature-controlled smart fan and built-in short-circuit protection add an extra layer of efficiency and protection. A solid choice for anyone who values durability and well-engineered hardware.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,quality_persona,2,10,"Built for users who value long-term reliability, this 300W internal ATX power supply combines high-quality connectors, a durable transformer, and premium components for consistent system performance. Built-in short-circuit protection and EMI/RFI filtration provide clean, stable power while minimizing noise and ripple. The temperature-controlled smart fan and high-flow cooling design help protect both the power supply and connected components over extended use.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,quality_persona,3,10,"Built for users who value durability and long-term performance, this 300W ATX power supply combines high-quality connectors, a long-life transformer, and built-in short-circuit protection for dependable operation. Premium EMI/RFI filtration delivers clean, stable power with minimal noise and ripple, helping protect sensitive components. The temperature-controlled smart fan and efficient cooling design support consistent system performance over extended use.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,neutral_tone,1,10,"This 300W internal ATX power supply is a practical replacement or upgrade for standard desktop computers. It provides up to 300 watts of power and includes nine output connectors, including a 20-pin ATX connector. Built-in short-circuit protection, EMI/RFI filtering, and a temperature-controlled fan help deliver stable power while reducing electrical noise. The high-flow fan also helps keep your system cool during everyday use.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,neutral_tone,2,10,"This 300W internal ATX power supply is a practical replacement or upgrade for standard desktop computers, offering nine output connectors and support for AC 115/230 V input. It delivers stable power to your components while built-in short-circuit protection helps safeguard your system. A temperature-controlled fan and EMI/RFI filter work together to keep your computer cool and reduce electrical noise for dependable everyday performance.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
B00006B8CH,StarTech.com Computer Power supply ( internal ) - ATX - AC 115/230 V - 300 Watt - 9 output connector(s),Computers,neutral_tone,3,10,"This 300W ATX internal power supply is a practical replacement or upgrade for standard desktop computers, offering nine output connectors and support for AC 115/230V input. It provides stable power delivery with built-in short-circuit protection and premium EMI/RFI filtration to reduce electrical noise and ripple. A temperature-controlled high-flow fan helps cool both the power supply and the rest of the system for dependable everyday performance.",,,$1.54 ,1,0,0,0,0,0,0,0,0,0
